"Album","RowID","Track","TrackID","RateCount","Path","ELO","Artist"
"I Told You I Was Freaky","41","You Don't Have To Be A Prostitute","41520","0","D:\Music\Music\Flight of the Conchords\I Told You I Was Freaky\10 You Don't Have To Be A Prostitute.m4a","1600","Flight of the Conchords"
"Use Your Illusion II","42","You Could Be Mine","41521","0","D:\Music\Music\Guns N' Roses\Use Your Illusion II\12 You Could Be Mine.m4a","2600","Guns N' Roses"
"Tragic Kingdom","43","You Can Do It","41522","0","D:\Music\Music\No Doubt\Tragic Kingdom\11 You Can Do It.m4a","1600","No Doubt"
"Graceland","44","You Can Call Me Al","41523","0","D:\Music\Music\Paul Simon\Graceland\06 You Can Call Me Al.m4a","2100","Paul Simon"
"Frizzle Fry","45","You Can't Kill Michael Malloy","41524","0","D:\Music\Music\Primus\Frizzle Fry\07 You Can't Kill Michael Malloy.m4a","1600","Primus"
"Prime Cuts","46","You Can't Bring Me Down","41525","0","D:\Music\Music\Suicidal Tendencies\Prime Cuts\01 You Can't Bring Me Down.m4a","1600","Suicidal Tendencies"
"To The Sea","47","You And Your Heart","41526","0","D:\Music\Music\Jack Johnson\To The Sea\01 You And Your Heart.m4a","1600","Jack Johnson"
"Like a Queen - EP","48","You're Under Fire","41527","0","D:\Music\Music\Bowen and the Lucky Dutchmen\Like a Queen - EP\01 You're Under Fire.m4a","1600","Bowen and the Lucky Dutchmen"
"Use Your Fingers","49","You're Pretty When I'm Drunk","41528","0","D:\Music\Music\Bloodhound Gang\Use Your Fingers\07 You're Pretty When I'm Drunk.m4a","1600","Bloodhound Gang"
"Greatest Hits Volume II","50","You're Only Human (Second Wind)","41529","0","D:\Music\Music\Billy Joel\Greatest Hits Volume II\13 You're Only Human (Second Wind).m4a","1600","Billy Joel"
"Lullaby Renditions of Queen","51","You're My Best Friend","41530","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Queen\10 You're My Best Friend.m4a","1600","Rockabye Baby!"
"Greatest Hits I","52","You're My Best Friend","41531","0","D:\Music\Music\Queen\Greatest Hits I\06 You're My Best Friend.m4a","1600","Queen"
"Triple J Hottest 100, Vol. 04","53","You're Gorgeous","41532","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 04\1-09 You're Gorgeous.m4a","1600","Baby Bird"
"Rise & Fall, Rage & Grace","54","You're Gonna Go Far, Kid","41533","0","D:\Music\Music\The Offspring\Rise & Fall, Rage & Grace\03 You're Gonna Go Far, Kid.m4a","1600","The Offspring"
"Appetite For Destruction","55","You're Crazy","41534","0","D:\Music\Music\Guns N' Roses\Appetite For Destruction\10 You're Crazy.m4a","1600","Guns N' Roses"
"Use Your Illusion II","56","Yesterdays","41535","0","D:\Music\Music\Guns N' Roses\Use Your Illusion II\03 Yesterdays.m4a","2600","Guns N' Roses"
"Triple J Hottest 100, Vol. 08","57","Yellow","41536","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 08\2-06 Yellow.m4a","1600","Coldplay"
"The Bens","58","XFire","41537","0","D:\Music\Music\The Bens\The Bens\02 XFire.m4a","1600","The Bens"
"Foo Fighters","59","X-Static","41538","0","D:\Music\Music\Foo Fighters\Foo Fighters\10 X-Static.m4a","1600","Foo Fighters"
"General Patton vs. The X-Ecutioners","60","X-Men Doctrine And Declaration","41539","0","D:\Music\Music\General Patton vs. The X-Ecutioners\General Patton vs. The X-Ecutioners\01 X-Men Doctrine And Declaration.m4a","1600","General Patton vs. The X-Ecutioners"
"Tales From The Punchbowl","61","Wynona's Big Brown Beaver","41540","0","D:\Music\Music\Primus\Tales From The Punchbowl\03 Wynona's Big Brown Beaver.m4a","1600","Primus"
"Sing-A-Longs & Lullabies for the Film Curious George","62","Wrong Turn","41541","0","D:\Music\Music\Jack Johnson\Sing-A-Longs & Lullabies for the Film Cu\04 Wrong Turn.m4a","1600","Jack Johnson"
"Mas Borracho","63","Wouldn't You Like To Know","41542","0","D:\Music\Music\Infectious Grooves\Mas Borracho\07 Wouldn't You Like To Know.m4a","1600","Infectious Grooves"
"Indie Anthems","64","Would?","41543","0","D:\Music\Music\Compilations\Indie Anthems\2-12 Would_.m4a","1600","Alice In Chains"
"From Dusk Till Dawn","65","Would You Do Me A Favor","41544","0","D:\Music\Music\Various Artists\From Dusk Till Dawn\06 Would You Do Me A Favor.m4a","1600","Film Dialogue"
"Splinter","66","The Worst Hangover Ever","41545","0","D:\Music\Music\The Offspring\Splinter\07 The Worst Hangover Ever.m4a","1600","The Offspring"
"Nimrod","67","Worry Rock","41546","0","D:\Music\Music\Green Day\Nimrod\07 Worry Rock.m4a","1600","Green Day"
"Unit","68","World of Sleaze","41547","0","D:\Music\Music\Regurgitator\Unit\05 World of Sleaze.m4a","2100","Regurgitator"
"Blackout","69","World Full Of Hate","41548","0","D:\Music\Music\Dropkick Murphys\Blackout\06 World Full Of Hate.m4a","1600","Dropkick Murphys"
"Invaders Must Die","70","World's On Fire","41549","0","D:\Music\Music\The Prodigy\Invaders Must Die\09 World's On Fire.m4a","1600","The Prodigy"
"Inside Of Emptiness","71","The World's Edge","41550","0","D:\Music\Music\John Frusciante\Inside Of Emptiness\02 The World's Edge.m4a","1600","John Frusciante"
"Instant Karma: The Amnesty International Campaign To Save Darfur [Disc 2]","72","Working Class Hero","41551","0","D:\Music\Music\Various Artists\Instant Karma_ The Amnesty International\2-01 Working Class Hero.m4a","2100","Green Day"
"Kerplunk!","73","Words I Might Have Ate","41552","0","D:\Music\Music\Green Day\Kerplunk!\12 Words I Might Have Ate.m4a","1600","Green Day"
"Greatest Hits, Vol. 1","74","Word Up!","41553","0","D:\Music\Music\Korn\Greatest Hits, Vol. 1\01 Word Up!.m4a","1600","Korn"
"Greatest Hits","75","Word Forward","41554","0","D:\Music\Music\Foo Fighters\Greatest Hits\15 Word Forward.m4a","2100","Foo Fighters"
"The Real Thing","76","Woodpecker From Mars","41555","0","D:\Music\Music\Faith No More\The Real Thing\09 Woodpecker From Mars.m4a","1600","Faith No More"
"Complete Clapton","77","Wonderful Tonight","41556","0","D:\Music\Music\Eric Clapton\Complete Clapton\1-17 Wonderful Tonight.m4a","1600","Eric Clapton"
"Tenacious D","78","Wonderboy","41557","0","D:\Music\Music\Tenacious D\Tenacious D\04 Wonderboy.m4a","1600","Tenacious D"
"Wolfmother","79","Woman","41558","0","D:\Music\Music\Wolfmother\Wolfmother\03 Woman.m4a","1600","Wolfmother"
"The Sopranos","80","Woke Up This Morning (Chosen One Mix)","41559","0","D:\Music\Music\Alabama 3\The Sopranos\01 Woke Up This Morning (Chosen One.m4a","1600","Alabama 3"
"Diorama","81","Without You","41560","0","D:\Music\Music\Silverchair\Diorama\03 Without You.m4a","1600","Silverchair"
"Sing-A-Longs & Lullabies for the Film Curious George","82","With My Own Two Hands","41561","0","D:\Music\Music\Jack Johnson\Sing-A-Longs & Lullabies for the Film Cu\11 With My Own Two Hands.m4a","1600","Jack Johnson"
"Neighborhoods (Deluxe Version)","83","Wishing Well","41562","0","D:\Music\Music\Blink-182\Neighborhoods (Deluxe Version)\08 Wishing Well.m4a","1600","Blink-182"
"Dream Days At The Hotel Existence","84","Wishing On The Same Moon","41563","0","D:\Music\Music\Powderfinger\Dream Days At The Hotel Existence\04 Wishing On The Same Moon.m4a","1600","Powderfinger"
"Morning View","85","Wish You Were Here","41564","0","D:\Music\Music\Incubus\Morning View\03 Wish You Were Here.m4a","1600","Incubus"
"The Colour and the Shape","86","Wind Up","41565","0","D:\Music\Music\Foo Fighters\The Colour and the Shape\05 Wind Up.m4a","1600","Foo Fighters"
"From Dusk Till Dawn","87","Willie The Wimp","41566","0","D:\Music\Music\Various Artists\From Dusk Till Dawn\14 Willie The Wimp.m4a","1600","Stevie Ray Vaughan & Double Trouble"
"Triple J Hottest 100, Vol. 01","88","Wild America","41567","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 01\1-08 Wild America.m4a","1600","Iggy Pop"
"Stone Sour","89","The Wicked","41568","0","D:\Music\Music\Stone Sour\Stone Sour\15 The Wicked.m4a","1600","Stone Sour"
"Groove Family Cyco","90","Why?","41569","0","D:\Music\Music\Infectious Grooves\Groove Family Cyco\09 Why_.m4a","1600","Infectious Grooves"
"Ten","91","Why Go","41570","0","D:\Music\Music\Pearl Jam\Ten\04 Why Go.m4a","1600","Pearl Jam"
"Americana","92","Why Don't You Get A Job?","41571","0","D:\Music\Music\The Offspring\Americana\11 Why Don't You Get A Job_.m4a","2100","The Offspring"
"1,039/Smoothed Out Slappy Hours","93","Why Do You Want Him?","41572","0","D:\Music\Music\Green Day\1,039_Smoothed Out Slappy Hours\12 Why Do You Want Him_.m4a","1600","Green Day"
"Slideshows","94","Whole World Reminds Me of You","41573","0","D:\Music\Music\Thirsty Merc\Slideshows\04 Whole World Reminds Me of You.m4a","1600","Thirsty Merc"
"Kerplunk!","95","Who Wrote Holden Caulfield?","41574","0","D:\Music\Music\Green Day\Kerplunk!\11 Who Wrote Holden Caulfield_.m4a","2100","Green Day"
"Incredibad","96","Who Said We're Wack?","41575","0","D:\Music\Music\The Lonely Island\Incredibad\01 Who Said We're Wack_.m4a","1600","The Lonely Island"
"Dream Days At The Hotel Existence","97","Who Really Cares (feat. The Sound of Insanity)","41576","0","D:\Music\Music\Powderfinger\Dream Days At The Hotel Existence\05 Who Really Cares (feat. The Sound.m4a","1600","Powderfinger"
"Reel To Reel","98","Who Makes the Loot?","41577","0","D:\Music\Music\Grand Puba\Reel To Reel\03 Who Makes the Loot_.m4a","1600","Grand Puba"
"Lullaby Renditions of ACDC","99","Who Made Who","41578","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of ACDC\03 Who Made Who.m4a","1600","Rockabye Baby!"
"I'm Not Dead","100","Who Knew","41579","0","D:\Music\Music\P!nk\I'm Not Dead\02 Who Knew.m4a","1600","P!nk"
"White Noise Rarities Collector's Edition","101","Who's On Your Side","41580","0","D:\Music\Music\The Living End\White Noise Rarities Collector's Edition\2-11 Who's On Your Side.m4a","1600","The Living End"
"Modern Artillery","102","Who's Gonna Save Us?","41581","0","D:\Music\Music\The Living End\Modern Artillery\03 Who's Gonna Save Us_.m4a","1600","The Living End"
"It's Not Me, It's You","103","Who'd Have Known","41582","0","D:\Music\Music\Lily Allen\It's Not Me, It's You\09 Who'd Have Known.m4a","1600","Lily Allen"
"Firefly","104","Whitefall/Book","41583","0","D:\Music\Music\Greg Edmonson\Firefly\04 Whitefall_Book.m4a","1600","Greg Edmonson"
"Complete Clapton","105","White Room","41584","0","D:\Music\Music\Eric Clapton\Complete Clapton\1-03 White Room.m4a","1600","Eric Clapton"
"White Noise","106","White Noise","41585","0","D:\Music\Music\The Living End\White Noise\03 White Noise.m4a","1600","The Living End"
"Wasting Light","107","White Limo","41586","0","D:\Music\Music\Foo Fighters\Wasting Light\04 White Limo.m4a","1600","Foo Fighters"
"Inglourious Basterds","108","White Lightning (Main Title)","41587","0","D:\Music\Music\Various Artists\Inglourious Basterds\03 White Lightning (Main Title).m4a","1600","Charles Bernstein"
"Garage Inc","109","Whiskey In The Jar","41588","0","D:\Music\Music\Metallica\Garage Inc\1-09 Whiskey In The Jar.m4a","1600","Metallica"
"Vitalogy","110","Whipping","41589","0","D:\Music\Music\Pearl Jam\Vitalogy\06 Whipping.m4a","1600","Pearl Jam"
"Kill 'em All","111","Whiplash","41590","0","D:\Music\Music\Metallica\Kill 'em All\06 Whiplash.m4a","1600","Metallica"
"Sleep Through The Static","112","While We Wait","41591","0","D:\Music\Music\Jack Johnson\Sleep Through The Static\12 While We Wait.m4a","1600","Jack Johnson"
"Lullaby Renditions of Metallica","113","Wherever I May Roam","41592","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Metallica\02 Wherever I May Roam.m4a","1600","Rockabye Baby!"
"Metallica","114","Wherever I May Roam","41593","0","D:\Music\Music\Metallica\Metallica\05 Wherever I May Roam.m4a","2100","Metallica"
"The Best Of","115","Where the Wild Roses Grow (Duet With Kylie Minogue)","41594","0","D:\Music\Music\Nick Cave & The Bad Seeds\The Best Of\01 Where the Wild Roses Grow (Duet W.m4a","2100","Nick Cave & The Bad Seeds"
"Ben Folds Five","116","Where's Summer B.","41595","0","D:\Music\Music\Ben Folds Five\Ben Folds Five\04 Where's Summer B..m4a","1600","Ben Folds Five"
"When Your Heart Stops Beating","117","When Your Heart Stops Beating","41596","0","D:\Music\Music\+44\When Your Heart Stops Beating\03 When Your Heart Stops Beating.m4a","1600","+44"
"Splinter","118","When You're In Prison","41597","0","D:\Music\Music\The Offspring\Splinter\12 When You're In Prison.m4a","1600","The Offspring"
"Black Sunday","119","When The Shit Goes Down","41598","0","D:\Music\Music\Cypress Hill\Black Sunday\04 When The Shit Goes Down.m4a","1600","Cypress Hill"
"To The Sea","120","When I Look Up","41599","0","D:\Music\Music\Jack Johnson\To The Sea\05 When I Look Up.m4a","1600","Jack Johnson"
"Lullaby Renditions of Green Day","121","When I Come Around","41600","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Green Day\06 When I Come Around.m4a","1600","Rockabye Baby!"
"Dookie","122","When I Come Around","41601","0","D:\Music\Music\Green Day\Dookie\10 When I Come Around.m4a","1600","Green Day"
"Greatest Hits","123","Wheels","41602","0","D:\Music\Music\Foo Fighters\Greatest Hits\14 Wheels.m4a","1600","Foo Fighters"
"American Idiot","124","Whatsername","41603","0","D:\Music\Music\Green Day\American Idiot\13 Whatsername.m4a","1600","Green Day"
"Sunrise Over Sea","125","What You Want","41604","0","D:\Music\Music\John Butler Trio\Sunrise Over Sea\04 What You Want.m4a","1600","John Butler Trio"
"Love.Angel.Music.Baby.","126","What You Waiting For?","41605","0","D:\Music\Music\Gwen Stefani\Love.Angel.Music.Baby_\01 What You Waiting For_.m4a","1600","Gwen Stefani"
"Sleep Through The Static","127","What You Thought You Need","41606","0","D:\Music\Music\Jack Johnson\Sleep Through The Static\08 What You Thought You Need.m4a","1600","Jack Johnson"
"Modern Artillery","128","What Would You Do?","41607","0","D:\Music\Music\The Living End\Modern Artillery\01 What Would You Do_.m4a","1600","The Living End"
"In Your Honor","129","What If I Do?","41608","0","D:\Music\Music\Foo Fighters\In Your Honor\2-02 What If I Do_.m4a","1600","Foo Fighters"
"Inside Of Emptiness","130","What I Saw","41609","0","D:\Music\Music\John Frusciante\Inside Of Emptiness\01 What I Saw.m4a","1600","John Frusciante"
"Smash","131","What Happened To You?","41610","0","D:\Music\Music\The Offspring\Smash\11 What Happened To You_.m4a","1600","The Offspring"
"Mas Borracho","132","What Goes Up","41611","0","D:\Music\Music\Infectious Grooves\Mas Borracho\12 What Goes Up.m4a","1600","Infectious Grooves"
"Black Sunday","133","What Go Around Come Around, Kid","41612","0","D:\Music\Music\Cypress Hill\Black Sunday\11 What Go Around Come Around, Kid.m4a","1600","Cypress Hill"
"King For A Day , Fool For A Lifetime","134","What A Day","41613","0","D:\Music\Music\Faith No More\King For A Day , Fool For A Lifetime\12 What A Day.m4a","1600","Faith No More"
"State of Emergency","135","What's On Your Radio","41614","0","D:\Music\Music\The Living End\State of Emergency\06 What's On Your Radio.m4a","1600","The Living End"
"Enema of the State","136","What's My Age Again?","41615","0","D:\Music\Music\Blink-182\Enema of the State\05 What's My Age Again_.m4a","2600","Blink-182"
"Stadium Arcadium: Jupiter","137","Wet Sand","41616","0","D:\Music\Music\Red Hot Chili Peppers\Stadium Arcadium_ Jupiter\1-13 Wet Sand.m4a","2100","Red Hot Chili Peppers"
"The Living End","138","West End Riot","41617","0","D:\Music\Music\The Living End\The Living End\04 West End Riot.m4a","1600","The Living End"
"Enema of the State","139","Wendy Clear","41618","0","D:\Music\Music\Blink-182\Enema of the State\11 Wendy Clear.m4a","1600","Blink-182"
"Pork Soda","140","Welcome To This World","41619","0","D:\Music\Music\Primus\Pork Soda\03 Welcome To This World.m4a","1600","Primus"
"Appetite For Destruction","141","Welcome To The Jungle","41620","0","D:\Music\Music\Guns N' Roses\Appetite For Destruction\01 Welcome To The Jungle.m4a","1600","Guns N' Roses"
"Lullaby Renditions of Green Day","142","Welcome To Paradise","41621","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Green Day\05 Welcome To Paradise.m4a","1600","Rockabye Baby!"
"Dookie","143","Welcome To Paradise","41622","0","D:\Music\Music\Green Day\Dookie\05 Welcome To Paradise.m4a","2100","Green Day"
"Lullaby Renditions of Metallica","144","Welcome Home (Sanitarium)","41623","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Metallica\09 Welcome Home (Sanitarium).m4a","1600","Rockabye Baby!"
"Master of Puppets","145","Welcome Home (Sanitarium)","41624","0","D:\Music\Music\Metallica\Master of Puppets\04 Welcome Home (Sanitarium).m4a","1600","Metallica"
"Americana","146","Welcome","41625","0","D:\Music\Music\The Offspring\Americana\01 Welcome.m4a","1600","The Offspring"
"Reflector","147","Weir","41626","0","D:\Music\Music\Killing Heidi\Reflector\02 Weir.m4a","1600","Killing Heidi"
"Foo Fighters","148","Weenie Beenie","41627","0","D:\Music\Music\Foo Fighters\Foo Fighters\07 Weenie Beenie.m4a","1600","Foo Fighters"
"Beetlejuice","149","The Wedding","41628","0","D:\Music\Music\Danny Elfman\Beetlejuice\17 The Wedding.m4a","1600","Danny Elfman"
"When Your Heart Stops Beating","150","Weatherman","41629","0","D:\Music\Music\+44\When Your Heart Stops Beating\09 Weatherman.m4a","1600","+44"
"Lullaby Renditions of Queen","151","We Will Rock You","41630","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Queen\04 We Will Rock You.m4a","1600","Rockabye Baby!"
"Greatest Hits I","152","We Will Rock You","41631","0","D:\Music\Music\Queen\Greatest Hits I\16 We Will Rock You.m4a","1600","Queen"
"Chaos A.D.","153","We Who Are Not As Others","41632","0","D:\Music\Music\Sepultura\Chaos A.D_\09 We Who Are Not As Others.m4a","1600","Sepultura"
"State of Emergency","154","We Want More","41633","0","D:\Music\Music\The Living End\State of Emergency\04 We Want More.m4a","1600","The Living End"
"Incredibad","155","We Like Sportz","41634","0","D:\Music\Music\The Lonely Island\Incredibad\11 We Like Sportz.m4a","1600","The Lonely Island"
"Introduce Yourself","156","We Care A Lot","41635","0","D:\Music\Music\Faith No More\Introduce Yourself\06 We Care A Lot.m4a","1600","Faith No More"
"Stadium Arcadium: Mars","157","We Believe","41636","0","D:\Music\Music\Red Hot Chili Peppers\Stadium Arcadium_ Mars\2-12 We Believe.m4a","1600","Red Hot Chili Peppers"
"Lullaby Renditions of Queen","158","We Are the Champions","41637","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Queen\07 We Are the Champions.m4a","1600","Rockabye Baby!"
"Greatest Hits I","159","We Are The Champions","41638","0","D:\Music\Music\Queen\Greatest Hits I\17 We Are The Champions.m4a","1600","Queen"
"Sing-A-Longs & Lullabies for the Film Curious George","160","We're Going to Be Friends","41639","0","D:\Music\Music\Jack Johnson\Sing-A-Longs & Lullabies for the Film Cu\07 We're Going to Be Friends.m4a","1600","Jack Johnson"
"I Told You I Was Freaky","161","We're Both In Love With A Sexy Lady","41640","0","D:\Music\Music\Flight of the Conchords\I Told You I Was Freaky\03 We're Both In Love With A Sexy La.m4a","1600","Flight of the Conchords"
"Turtleneck & Chain","162","We're Back!","41641","0","D:\Music\Music\The Lonely Island\Turtleneck & Chain\01 We're Back!.m4a","1600","The Lonely Island"
"Foo Fighters","163","Wattershed","41642","0","D:\Music\Music\Foo Fighters\Foo Fighters\11 Wattershed.m4a","1600","Foo Fighters"
"CrazySexyCool","164","Waterfalls","41643","0","D:\Music\Music\TLC\CrazySexyCool\08 Waterfalls.m4a","1600","TLC"
"Shadows Collide With People","165","Water","41644","0","D:\Music\Music\John Frusciante\Shadows Collide With People\14 Water.m4a","1600","John Frusciante"
"Thirsty Merc","166","Wasting Time","41645","0","D:\Music\Music\Thirsty Merc\Thirsty Merc\10 Wasting Time.m4a","1600","Thirsty Merc"
"On And On","167","Wasting Time","41646","0","D:\Music\Music\Jack Johnson\On And On\07 Wasting Time.m4a","2100","Jack Johnson"
"Load","168","Wasting My Hate","41647","0","D:\Music\Music\Metallica\Load\10 Wasting My Hate.m4a","1600","Metallica"
"Them Crooked Vultures","169","Warsaw or the First Breath You Take After You Give Up","41648","0","D:\Music\Music\Them Crooked Vultures\Them Crooked Vultures\10 Warsaw or the First Breath You Ta.m4a","1600","Them Crooked Vultures"
"One Hot Minute","170","Warped","41649","0","D:\Music\Music\Red Hot Chili Peppers\One Hot Minute\01 Warped.m4a","1600","Red Hot Chili Peppers"
"Lullaby Renditions of Green Day","171","Warning","41650","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of Green Day\07 Warning.m4a","1600","Rockabye Baby!"
"Warning!","172","Warning","41651","0","D:\Music\Music\Green Day\Warning!\01 Warning.m4a","2100","Green Day"
"By The Way","173","Warm Tape","41652","0","D:\Music\Music\Red Hot Chili Peppers\By The Way\15 Warm Tape.m4a","1600","Red Hot Chili Peppers"
"Stadium Arcadium: Jupiter","174","Warlocks","41653","0","D:\Music\Music\Red Hot Chili Peppers\Stadium Arcadium_ Jupiter\1-11 Warlocks.m4a","1600","Red Hot Chili Peppers"
"The Real Thing","175","War Pigs","41654","0","D:\Music\Music\Faith No More\The Real Thing\10 War Pigs.m4a","1600","Faith No More"
